apartment_name,latitude,longitude,place_id,zipcode,website,property_address,map_url,phone
Nottingham Forest East Apartments,33.7676033,-84.2530516,ChIJ3VvNauyp9YgRRXlKemiVy2M,30002,,"965 Nottingham Dr, Avondale Estates, GA 30002, USA",https://maps.google.com/?cid=7191005505987967301,(404) 501-0556
Colonial Homes Apartments,33.815173,-84.39656,ChIJ4eCNIKgF9YgReOZ6JpQafwc,30002,http://colonialhomesatlanta.com/,"177 N Colonial Homes Cir NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=540179703910819448,(404) 355-0580
Wesley Townsend Apartments,33.8136609,-84.3943458,ChIJKzR9b6gF9YgRjjr51xqT-Js,30002,http://www.wesleytownsend.com/,"200 Colonial Homes Dr NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=11238894613604940430,(678) 359-4463
The Jane Atlanta,33.8133327,-84.3950883,ChIJO9W-D6gF9YgR_3x7d31Ib_A,30002,http://www.thejaneatlanta.com/,"214 Colonial Homes Dr NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=17325145995230280959,(888) 218-0798
The Monroe,33.813823,-84.395875,ChIJ--OyBKgF9YgRCbPZqzRI6NQ,30002,http://www.themonroeatlanta.com/,"222 Colonial Homes Dr NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=15341591521696264969,(404) 228-2947
Willow Ridge Apartments,33.783778,-84.247377,ChIJpardO7ip9YgRt7TWKO3wDCk,30002,http://www.visitwillowridge.com/,"3548 Rockbridge Rd SW, Avondale Estates, GA 30002, USA",https://maps.google.com/?cid=2958003956658648247,(404) 254-5288
Oak Creek Apartments,33.7801149,-84.2481744,ChIJs0_Es7ip9YgR8dlA0ZjY-Rk,30002,http://www.oakcreekapts.org/,"280 Northern Ave, Avondale Estates, GA 30002, USA",https://maps.google.com/?cid=1871765271006468593,(404) 292-9724
CoHo,33.8152131,-84.3972627,ChIJWfvt5QcF9YgRvBaszKADxKI,30002,http://www.cohoatl.com/,"177 N Colonial Homes Cir NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=11728503318743094972,(855) 269-9069
Deerfield Village Apartments,34.0981576,-84.256204,ChIJ5Ro5bQ6e9YgRDUDIZB2WGg0,30004,http://www.liveatdeerfieldvillage.com/,"13085 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=944232124876603405,(770) 569-8600
The Lakes at Windward,34.0824037,-84.279557,ChIJhUbr3Y119YgREZg9CgP3iRY,30004,,"905 Lake Union Hill Way, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=1624100733072545809,(770) 751-1411
