place_id,zipcode,supermarket_type,market_name,latitude,longitude,website_url,property_address,map_url,phone
ChIJL9ZQEoyy9YgR7cmB4X1ANhE,30038,department_store,Walmart Supercenter,33.694617,-84.084844,http://www.ndmmarket.com/,"8424 Mall Pkwy, Lithonia, GA 30038, USA",https://maps.google.com/?cid=1240249656785619437,(404) 847-9942
ChIJ8XhgcYmy9YgRCRot5yiWjeg,30038,food,Sam's Club,33.6950963,-84.0869525,http://www.caycefoods.com/,"2994 Turner Hill Rd, Lithonia, GA 30038, USA",https://maps.google.com/?cid=16757214890936834569,(678) 309-0007
ChIJq0KxZJuX9YgRJm4D_bOUC14,30024,bakery,Publix Super Market at McGinnis Crossing,34.0498795,-84.0887676,http://www.publix.com/,"1000 Peachtree Industrial Blvd, Suwanee, GA 30024, USA",https://maps.google.com/?cid=6776673565073960486,(770) 945-3949
ChIJP8w3e4qX9YgR5vpkAMLRzWQ,30024,grocery_or_supermarket,The Fresh Market,34.0372588,-84.0997188,http://www.dekalbfarmersmarket.com/,"1500 Peachtree Industrial Blvd, Suwanee, GA 30024, USA",https://maps.google.com/?cid=7263692405178956518,(770) 932-4377
ChIJv0K9zoit9YgRRlIQwxiIz0I,30058,grocery_or_supermarket,Wayfield Foods Inc,33.7117646,-84.1080316,http://www.al-salamstore.com/,"2636 Max Cleland Blvd, Lithonia, GA 30058, USA",https://maps.google.com/?cid=4814216166615568966,(678) 573-9669
ChIJzVkFprCk9YgRxjSckZHWsh4,30047,grocery_or_supermarket,ALDI,33.9079463,-84.1109836,http://malincho.com/,"396 Pleasant Hill Rd, Lilburn, GA 30047, USA",https://maps.google.com/?cid=2212066287693870278,(770) 416-6620
ChIJY9gS1bqk9YgRxVvq7Q2QGSg,30047,grocery_or_supermarket,Alsafa Market,33.9131393,-84.1138451,https://www.aldi.us/,"550 Pleasant Hill Rd b205, Lilburn, GA 30047, USA",https://maps.google.com/?cid=2889499025435417541,(770) 921-8288
ChIJu4d8t0yY9YgRc7C6GBmxi8A,30024,bakery,Publix Super Market at Shakerag Shopping Center,34.0571868,-84.1289417,http://www.cherians.com/,"7780 McGinnis Ferry Rd, Suwanee, GA 30024, USA",https://maps.google.com/?cid=13874377798392131699,(678) 714-0976
ChIJCdV2u0ys9YgRNObyDXG23S0,30058,grocery_or_supermarket,Kroger,33.7186679,-84.144531,http://www.cherians.com/,"6678 Covington Hwy, Lithonia, GA 30058, USA",https://maps.google.com/?cid=3304998298241394228,(404) 366-3233
ChIJYf9JYUys9YgRNaJ00q7j0wk,30058,grocery_or_supermarket,ALDI,33.7183388,-84.1467596,http://www.mymothernatures.com/,"6650 Covington Hwy, Lithonia, GA 30058, USA",https://maps.google.com/?cid=708159906421973557,(770) 593-7110
ChIJO8mizhWZ9YgRDkJCMWA2NP0,30024,grocery_or_supermarket,Suvidha Indo-Pak Groceries,34.0773392,-84.1622567,http://www.aofwc.com/,"3495 Peachtree Pkwy #105, Suwanee, GA 30024, USA",https://maps.google.com/?cid=18245267777155908110,(770) 663-8823
ChIJIeE5VeWt9YgRCsOysyef3dc,30058,grocery_or_supermarket,Walmart Neighborhood Market,33.7244094,-84.1646343,https://www.kroger.com/?cid=PDM-KROGER.GMB-LOCAL,"6152 Covington Hwy, Lithonia, GA 30058, USA",https://maps.google.com/?cid=15554763680874939146,(404) 299-0842
ChIJMaPPeKKu9YgRrXKG8vetvRY,30083,grocery_or_supermarket,Carnival Grocery,33.756108,-84.164732,https://www.kroger.com/,"5616 Redan Rd, Stone Mountain, GA 30088, USA",https://maps.google.com/?cid=1638657119870153389,(770) 921-8288
ChIJVy0mr4us9YgRZr4HslOoqBI,30038,department_store,Walmart Supercenter,33.700664,-84.167047,http://www.mariettahalal.com/,"5401 Fairington Rd, Lithonia, GA 30038, USA",https://maps.google.com/?cid=1344509566192696934,(770) 323-3180
ChIJYbg51dGo9YgRpbBFW9YOuKo,30083,grocery_or_supermarket,Kroger,33.804887,-84.191228,http://www.mondelezinternational.com/,"965 N Hairston Rd, Stone Mountain, GA 30083, USA",https://maps.google.com/?cid=12301598695979593893,(770) 381-0490
ChIJ01QiTPKr9YgRptfcH0r5W7k,30032,grocery_or_supermarket,Caribbean Farmers Market,33.731933,-84.192365,http://www.publix.com/,"5410 Covington Hwy, Decatur, GA 30035, USA",https://maps.google.com/?cid=13356543216654800806,(855) 955-2534
ChIJ6bByjCWp9YgR1FEGeIuk5ww,30083,grocery_or_supermarket,Ingles Markets,33.786043,-84.19759,http://www.carvermarket.com/,"4815 Rockbridge Rd SW, Stone Mountain, GA 30083, USA",https://maps.google.com/?cid=929892766996386260,(678) 580-2319
