latitude,longitude,school_id,school_name,Grades,school_type,city,address,phone,fax,website,overview_url,ratings_url,reviews_url,freeandreducedLunch
33.714993,-84.38852,3115,Campbell School,Other,public,Atlanta,"21 Thirkield Ave Sw, Atlanta, GA  30315",(404) 802-7533,,,http://www.greatschools.org/georgia/atlanta/3115-Campbell-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3115&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3115&s_cid=gsapi,
33.769775,-84.39511,125,Centennial Academy,Other,public,Atlanta,"531 Luckie St Nw, Atlanta, GA  30313",(404) 802-8550,(404) 853-4089,www.centennial.academy,http://www.greatschools.org/georgia/atlanta/125-Centennial-Academy/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=125&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=125&s_cid=gsapi,68.75
33.744953,-84.3147,2465,Charles R. Drew Charter School,Other,charter,Atlanta,"301 East Lake Blvd Se, Atlanta, GA  30317",(404) 687-0001,(404) 687-0480,http://www.drewcharterschool.org/,http://www.greatschools.org/georgia/atlanta/2465-Charles-R.-Drew-Charter-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=2465&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=2465&s_cid=gsapi,67.8005
33.58136,-84.69771,8625,Chattahoochee Hills Charter School,Other,charter,Chattahoochee-Hills,"9670 Rivertown Rd, Chattahoochee HIlls, GA  30213",(678) 466-7300,,http://chatthillscharter.org,http://www.greatschools.org/georgia/chattahoochee-hills/8625-Chattahoochee-Hills-Charter-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=8625&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=8625&s_cid=gsapi,
33.67115,-84.51312,3633,Deerwood Academy School,Other,public,Atlanta,"3070 Fairburn Rd Sw, Atlanta, GA  30331",(404) 802-3300,(404) 349-6736,,http://www.greatschools.org/georgia/atlanta/3633-Deerwood-Academy-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3633&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3633&s_cid=gsapi,77.0186
33.82419,-84.1996,6548,Dekalb Academy of Technology and the Environment Charter School,Other,charter,Stone-Mountain,"1492 Kelton Dr, Stone Mountain, GA  30083",(770) 484-5865,,,http://www.greatschools.org/georgia/stone-mountain/6548-Dekalb-Academy-Of-Technology-And-The-Environment-Charter-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=6548&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=6548&s_cid=gsapi,16.5803
33.80575,-84.238884,2414,Dekalb Alternative Night School,Other,public,Clarkston,"955 North Indian Creek Dr, Clarkston, GA  30021",(678) 676-2876,(678) 676-2878,,http://www.greatschools.org/georgia/clarkston/2414-Dekalb-Alternative-Night-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=2414&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=2414&s_cid=gsapi,50.6173
33.800945,-84.19967,2418,Dekalb Alternative School,Other,public,Stone-Mountain,"5855 Memorial Dr, Stone Mountain, GA  30083",(678) 676-2302,(678) 676-2310,,http://www.greatschools.org/georgia/stone-mountain/2418-Dekalb-Alternative-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=2418&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=2418&s_cid=gsapi,98.4293
33.83219,-84.19545,3752,Dekalb Early College Academy,Other,public,Stone-Mountain,"1701 Mountain Industrial Blvd, Stone Mountain, GA  30083",(678) 676-0221,,,http://www.greatschools.org/georgia/stone-mountain/3752-Dekalb-Early-College-Academy/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3752&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3752&s_cid=gsapi,66.3121
33.87614,-84.33772,3634,Dekalb Path Academy Charter School,Other,charter,Atlanta,"3007 Hermance Dr Ne, Atlanta, GA  30319",(404) 846-3242,(404) 846-3243,,http://www.greatschools.org/georgia/atlanta/3634-Dekalb-Path-Academy-Charter-School/?s_cid=gsapi,http://www.greatschools.org/school/rating.page?state=GA&id=3634&s_cid=gsapi,http://www.greatschools.org/school/parentReviews.page?state=GA&id=3634&s_cid=gsapi,93.3333
