Lat,Lon,OBJECTID,name,id,agency
33.75563713,-84.38202739,10904,Auburn at Piedmont,4560591,Atlanta Streetcar
33.7595003,-84.38952253,11023,Carnegie at Spring,4560594,Atlanta Streetcar
33.75434559,-84.38550565,11133,Hurt Park,4560586,Atlanta Streetcar
33.75942002,-84.39199553,11180,Centennial Olympic Park,4560595,Atlanta Streetcar
33.75512953,-84.38827262,11359,Park Place,4560597,Atlanta Streetcar
33.75558892,-84.37840746,11413,Dobbs Plaza,4560590,Atlanta Streetcar
33.75603938,-84.38818679,11489,Woodruff Park,4560592,Atlanta Streetcar
33.75429549,-84.37635825,11630,Edgewood at Hilliard,4560588,Atlanta Streetcar
33.75440699,-84.37984512,11640,Sweet Auburn Market,4560587,Atlanta Streetcar
33.75806422,-84.38753233,11673,Peachtree Center Station,4560593,Atlanta Streetcar
33.75807314,-84.39044521,11706,Luckie at Cone,4560596,Atlanta Streetcar
33.7555577,-84.37468455,11717,King Historic District,4560589,Atlanta Streetcar
33.79092841,-84.39481286,10926,17th St @ Market St,ASFS_1089524,Atlantic Station Shuttle
33.79000616,-84.40039964,10960,17th St @ Mecaslin St,ASFS_1089522,Atlantic Station Shuttle
33.78907776,-84.38680267,11080,MARTA - Arts Center,ASFS_1089516,Atlantic Station Shuttle
33.79142167,-84.39409904,11081,17th St @ Commerce St,ASFS_1089517,Atlantic Station Shuttle
33.79092753,-84.39901662,11416,17th St @ State St,ASFS_1089523,Atlantic Station Shuttle
33.79143711,-84.39593911,11439,17th St @ B.B.&T.,ASFS_1089518,Atlantic Station Shuttle
33.78891095,-84.40286165,11532,Village St @ IKEA,ASFS_1089521,Atlantic Station Shuttle
33.79144858,-84.39734218,11678,17th St @ Atlantic Dr,ASFS_1089519,Atlantic Station Shuttle
33.79080009,-84.40152307,11713,17th St @ Mecaslin St,ASFS_1089520,Atlantic Station Shuttle
34.25685997,-84.49400225,10771,Highway 140 & Reinhardt College Parkway,1082636,Cherokee Area Transportation System (CATS)
34.25758322,-84.48894569,10774,River Ridge Apts. & Heritage Apts.,1082637,Cherokee Area Transportation System (CATS)
34.25278691,-84.49375063,10788,Hospital Road & Highway 140,1082635,Cherokee Area Transportation System (CATS)
34.24262553,-84.49249525,10791,YMCA-G. Cecil Pruett Community Center,1082626,Cherokee Area Transportation System (CATS)
34.19131495,-84.51003782,10824,Prominence Point Shopping,1082615,Cherokee Area Transportation System (CATS)
34.22036764,-84.4634542,10877,Cherokee Overlook Subdivision,1082642,Cherokee Area Transportation System (CATS)
34.23187747,-84.48534919,10887,Hearthstone Landing Apts./ Cherokee Family Violence Center,1082601,Cherokee Area Transportation System (CATS)
34.24482764,-84.48678303,10895,Juniper St & Canton Mill Loft Apts.,1082622,Cherokee Area Transportation System (CATS)
34.22383744,-84.47538533,10931,Laurels @ Greenwood Apts.,1082643,Cherokee Area Transportation System (CATS)
34.24825268,-84.49179419,10934,Hospital Road & Mashburn Road,1082634,Cherokee Area Transportation System (CATS)
34.23462214,-84.48594994,10996,Upper Dr. John T. Pettit & Main St,1082602,Cherokee Area Transportation System (CATS)
34.25353723,-84.47005787,11016,Cracker Barrel,1082655,Cherokee Area Transportation System (CATS)
34.24474686,-84.48646041,11034,Canton Mill Loft Apts. & Juniper St,1082651,Cherokee Area Transportation System (CATS)
34.23720281,-84.48869789,11040,Cherokee North Apartment,1082624,Cherokee Area Transportation System (CATS)
34.23238547,-84.49103569,11051,Must Ministries,1082599,Cherokee Area Transportation System (CATS)
34.23665189,-84.48111364,11091,Main St & Crisler St,1082607,Cherokee Area Transportation System (CATS)
34.25123597,-84.48899419,11112,Lancaster Ridge Apts.,1082630,Cherokee Area Transportation System (CATS)
34.20795609,-84.50611267,11143,Ridge Pine Office Park,1082650,Cherokee Area Transportation System (CATS)
34.23817297,-84.48426432,11149,Shipp St @ Shelter,1082603,Cherokee Area Transportation System (CATS)
34.24685147,-84.48782186,11175,Birch St & Lakeview Dr,1082628,Cherokee Area Transportation System (CATS)
34.23750838,-84.46923991,11219,Library,1082608,Cherokee Area Transportation System (CATS)
34.24743697,-84.48982302,11251,Oakside Professional Center,1082629,Cherokee Area Transportation System (CATS)
34.23477143,-84.49039074,11271,City Hall (Transfer for both Routes),1082598,Cherokee Area Transportation System (CATS)
34.24206467,-84.47337614,11289,Department of Family & Children Services,1082609,Cherokee Area Transportation System (CATS)
34.24284181,-84.49148319,11304,Ingles,1082627,Cherokee Area Transportation System (CATS)
34.23740214,-84.49090636,11315,North St (at courthouse benches),1082625,Cherokee Area Transportation System (CATS)
34.2103087,-84.50446491,11322,Dairy Queen,1082618,Cherokee Area Transportation System (CATS)
34.25264222,-84.4757457,11332,Publix,1082639,Cherokee Area Transportation System (CATS)
34.22288405,-84.48374674,11333,L. Scott Mill Rd,1082647,Cherokee Area Transportation System (CATS)
34.2313171,-84.49040228,11384,Lower Dr. John T. Pettit,1082600,Cherokee Area Transportation System (CATS)
34.22411589,-84.49405752,11394,Coppermine Manor Subdivision,1082619,Cherokee Area Transportation System (CATS)
34.21300811,-84.50453077,11396,Colonial Village,1082613,Cherokee Area Transportation System (CATS)
34.19825841,-84.50882991,11406,McDonald’s @ Ridge Rd. & Hwy 5,1082614,Cherokee Area Transportation System (CATS)
34.23232564,-84.48258886,11425,Jefferson Circle @ Shelter,1082605,Cherokee Area Transportation System (CATS)
34.22352422,-84.50248052,11434,Kmart (Canton Corners),1082612,Cherokee Area Transportation System (CATS)
34.25206939,-84.47679395,11463,Belk,1082638,Cherokee Area Transportation System (CATS)
34.23329764,-84.48217369,11496,Jefferson Circle @ Stop Sign,1082606,Cherokee Area Transportation System (CATS)
34.22688648,-84.49275221,11504,Marietta Road & Edwards Street,1082620,Cherokee Area Transportation System (CATS)
34.23465346,-84.49996282,11511,Cherokee High School,1082653,Cherokee Area Transportation System (CATS)
34.23520147,-84.48470294,11535,Shipp St @ Main St,1082604,Cherokee Area Transportation System (CATS)
34.23725395,-84.46098432,11537,Best Buy - Canton Marketplace,1082645,Cherokee Area Transportation System (CATS)
34.22864208,-84.49133588,11565,Chevron @ Hickory Flat Rd,1082640,Cherokee Area Transportation System (CATS)
34.2361706,-84.4583599,11584,Target - Canton Marketplace,1082646,Cherokee Area Transportation System (CATS)
34.24280792,-84.49588858,11594,Pizza Hut,1082652,Cherokee Area Transportation System (CATS)
34.25328564,-84.48798403,11609,Oakside Apts. @ Cul-de-Sac Shelter,1082631,Cherokee Area Transportation System (CATS)
34.24842,-84.478534,11635,Starbucks @ Riverstone,1082654,Cherokee Area Transportation System (CATS)
34.23664923,-84.48978879,11645,East Marietta St & Main St,1082644,Cherokee Area Transportation System (CATS)
34.19330473,-84.49306107,11670,Health Department,1082617,Cherokee Area Transportation System (CATS)
34.25146157,-84.47746806,11682,Bealls,1082649,Cherokee Area Transportation System (CATS)
34.2520503,-84.49127402,11683,Oakside Apts. @ Hilltop,1082632,Cherokee Area Transportation System (CATS)
34.24599297,-84.49038427,11686,Northside Hospital - Cherokee,1082633,Cherokee Area Transportation System (CATS)
34.24000453,-84.47126631,11690,Hasty Elementary,1082610,Cherokee Area Transportation System (CATS)
34.221438,-84.46840065,11719,Hillcrest Subdivision,1082641,Cherokee Area Transportation System (CATS)
34.25416504,-84.4790615,11725,Riverstone Medical,1082648,Cherokee Area Transportation System (CATS)
34.19281421,-84.50732836,11730,Kroger (Canton Kroger Shopping Center),1082616,Cherokee Area Transportation System (CATS)
34.25611489,-84.46154645,11759,Walmart (Transfer for both Routes),1082611,Cherokee Area Transportation System (CATS)
33.7719,-84.391883,10768,Techwood Dr. & North Ave.,techwood_northav_nb,Georgia Tech Trolley & Stinger Shuttles
33.77507383,-84.40245115,10785,Recreation Center,crc_nb,Georgia Tech Trolley & Stinger Shuttles
33.78072772,-84.38885531,10817,Publix (Midtown),publix,Georgia Tech Trolley & Stinger Shuttles
33.799094,-84.36729327,10828,Piedmont Rd./Morningside Dr.,piedmont_morning_eb,Georgia Tech Trolley & Stinger Shuttles
33.7971908,-84.350023,10836,Johnson Rd./Rock Springs Dr.,rock_johnson_wb,Georgia Tech Trolley & Stinger Shuttles
33.77698333,-84.38965,10853,Technology Square,techsq_wb,Georgia Tech Trolley & Stinger Shuttles
33.80375656,-84.33362961,10909,Wesley Woods,wesley_woods_sb,Georgia Tech Trolley & Stinger Shuttles
33.776858,-84.393905,10912,Ferst Dr. & Fowler SW,fowler_n_5th_eb,Georgia Tech Trolley & Stinger Shuttles
33.77840117,-84.39951896,10965,Ferst Dr./State St. NW,ferst_state_wb,Georgia Tech Trolley & Stinger Shuttles
33.77701667,-84.39408333,10970,5th St. & Fowler NW,fowler_n_5th_wb,Georgia Tech Trolley & Stinger Shuttles
33.77407412,-84.39186153,10976,Techwood Dr. NW/3rd St.,techwood_n_3rd_nb,Georgia Tech Trolley & Stinger Shuttles
33.77833333,-84.3981,10997,Ferst Dr./ Atlantic Dr. NE,ferst_atlantic_wb,Georgia Tech Trolley & Stinger Shuttles
33.77683333,-84.3918,11028,5th St. & Techwood,techwood_n_5th_eb,Georgia Tech Trolley & Stinger Shuttles
33.77506667,-84.39186667,11060,Techwood Dr. & 4th St. NW,techwood_n_4th_nb,Georgia Tech Trolley & Stinger Shuttles
33.77322369,-84.39953644,11061,Tech Pkwy/ State St. (Student Center),techpkwy_state_wb,Georgia Tech Trolley & Stinger Shuttles
33.77812983,-84.3975477,11082,Ferst Dr./ Atlantic Dr.,ferst_atlantic_eb,Georgia Tech Trolley & Stinger Shuttles
33.78039259,-84.3993131,11104,Baker Bldg (GTRI) W,baker_sb,Georgia Tech Trolley & Stinger Shuttles
33.77822208,-84.40411667,11126,Fitten Hall,fitten_a,Georgia Tech Trolley & Stinger Shuttles
33.80375656,-84.33362961,11131,Wesley Woods,wesley_woods_nb,Georgia Tech Trolley & Stinger Shuttles
33.78637716,-84.40535865,11139,575 14th Street S,14th_575,Georgia Tech Trolley & Stinger Shuttles
33.77698333,-84.39168333,11141,5th St. & Techwood,techwood_n_5th_wb,Georgia Tech Trolley & Stinger Shuttles
33.7970451,-84.32200168,11159,Clifton & Gatewood,clifton_gatewood_nb,Georgia Tech Trolley & Stinger Shuttles
33.79131797,-84.39798117,11207,Publix (Atlantic Station),publix_atl_stn,Georgia Tech Trolley & Stinger Shuttles
33.77328702,-84.39911079,11239,Student Center,studcentr_eb,Georgia Tech Trolley & Stinger Shuttles
33.77756463,-84.39551032,11243,Klaus (Ferst Dr./Cherry St. N),ferst_cherry_wb,Georgia Tech Trolley & Stinger Shuttles
33.7996646,-84.36746493,11252,Morningside Dr./Piedmont Rd.,piedmont_morning_wb,Georgia Tech Trolley & Stinger Shuttles
33.775089,-84.402679,11254,Recreation Center W,crc_sb,Georgia Tech Trolley & Stinger Shuttles
33.78164594,-84.39594306,11275,GLC S,glc,Georgia Tech Trolley & Stinger Shuttles
33.77830044,-84.40166647,11314,Ferst Dr./ Hemphill Ave.,ferst_hh_wb,Georgia Tech Trolley & Stinger Shuttles
