apartment_,latitude,longitude,place_id,zipcode,website,property_a,map_url,phone,Market_Time,School_Time
Nottingham Forest East Apartments,33.767603,-84.253052,ChIJ3VvNauyp9YgRRXlKemiVy2M,30002, ,"965 Nottingham Dr, Avondale Estates, GA 30002, USA",https://maps.google.com/?cid=7191005505987967301,(404) 501-0556,22 mins,20 mins
Colonial Homes Apartments,33.815173,-84.39656,ChIJ4eCNIKgF9YgReOZ6JpQafwc,30002,http://colonialhomesatlanta.com/,"177 N Colonial Homes Cir NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=540179703910819448,(404) 355-0580,19 mins,15 mins
Wesley Townsend Apartments,33.813661,-84.394346,ChIJKzR9b6gF9YgRjjr51xqT-Js,30002,http://www.wesleytownsend.com/,"200 Colonial Homes Dr NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=11238894613604940430,(678) 359-4463,23 mins,33 mins
The Jane Atlanta,33.813333,-84.395088,ChIJO9W-D6gF9YgR_3x7d31Ib_A,30002,http://www.thejaneatlanta.com/,"214 Colonial Homes Dr NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=17325145995230280959,(888) 218-0798,23 mins,33 mins
The Monroe,33.813823,-84.395875,ChIJ--OyBKgF9YgRCbPZqzRI6NQ,30002,http://www.themonroeatlanta.com/,"222 Colonial Homes Dr NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=15341591521696264969,(404) 228-2947,23 mins,33 mins
Willow Ridge Apartments,33.783778,-84.247377,ChIJpardO7ip9YgRt7TWKO3wDCk,30002,http://www.visitwillowridge.com/,"3548 Rockbridge Rd SW, Avondale Estates, GA 30002, USA",https://maps.google.com/?cid=2958003956658648247,(404) 254-5288,21 mins,16 mins
Oak Creek Apartments,33.780115,-84.248174,ChIJs0_Es7ip9YgR8dlA0ZjY-Rk,30002,http://www.oakcreekapts.org/,"280 Northern Ave, Avondale Estates, GA 30002, USA",https://maps.google.com/?cid=1871765271006468593,(404) 292-9724,21 mins,16 mins
CoHo,33.815213,-84.397263,ChIJWfvt5QcF9YgRvBaszKADxKI,30002,http://www.cohoatl.com/,"177 N Colonial Homes Cir NW, Atlanta, GA 30309, USA",https://maps.google.com/?cid=11728503318743094972,(855) 269-9069,19 mins,15 mins
Deerfield Village Apartments,34.098158,-84.256204,ChIJ5Ro5bQ6e9YgRDUDIZB2WGg0,30004,http://www.liveatdeerfieldvillage.com/,"13085 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=944232124876603405,(770) 569-8600,1 hour 22 mins,39 mins
The Lakes at Windward,34.082404,-84.279557,ChIJhUbr3Y119YgREZg9CgP3iRY,30004, ,"905 Lake Union Hill Way, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=1624100733072545809,(770) 751-1411,47 mins,15 mins
Village of Devinshire Condos,34.099984,-84.264804,ChIJiQhCrwSe9YgRmI-9d1C2RHU,30004, ,"3301 Deerfield Pkwy, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=8450079257576443800,(770) 475-7633,1 hour 7 mins,19 mins
Camden Deerfield Apartments,34.104254,-84.266008,ChIJj63rRwGe9YgRexIL7p0z-sc,30004,https://www.camdenliving.com/alpharetta-ga-apartments/camden-deerfield,"13200 Summit Blvd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=14409886711121908347,(770) 754-0700,1 hour 7 mins,19 mins
Handy Trac,34.138053,-84.241764,ChIJmzETCLud9YgRpV7UrpYXw1U,30004,http://www.handytrac.com/,"510 Staghorn Ct, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=6179809049628139173,(678) 990-2305,2 hours 13 mins,1 hour 0 mins
IMT Deerfield,34.100915,-84.256342,ChIJqWc9Lwye9YgRO0WKgqnFz4k,30004,http://www.imtresidential.com/imtDeerfield,"13125 Morris Rd, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=9930373035205477691,(678) 367-0186,1 hour 22 mins,39 mins
Northpark Estates,34.102731,-84.26469,ChIJT6MrBwSe9YgRpaSUcUUPMnk,30004,http://www.northparkwmp.com/,"13201 Deerfield Pkwy, Alpharetta, GA 30004, USA",https://maps.google.com/?cid=8733059418357540005,(770) 752-6300,1 hour 7 mins,19 mins
