place_id,zipcode,place_type,place_name,latitude,longitude,website_url,property_address,map_url,phone,opening_hours
ChIJAbesjs7i9IgRGpMzEw5QAxg,30320,grocery_or_supermarket,Hojeij Branded Food,33.640809,-84.4448347,,"6000 N Terminal Pkwy, Atlanta, GA 30320, USA",https://maps.google.com/?cid=1730314703222313754,(404) 762-2510,
ChIJAbesjs7i9IgRZOFDES4HWe8,30320,grocery_or_supermarket,Z Market,33.640973,-84.4440475,,"6000 N Terminal Pkwy, Atlanta, GA 30320, USA",https://maps.google.com/?cid=17246824142431576420,(404) 766-0015,
ChIJofH0_DL99IgROp3VyqSYDbU,30320,bakery,Atlanta Bread,33.6385303,-84.4358347,http://atlantabread.com/,"6000 N Terminal Pkwy, Atlanta, GA 30320, USA",https://maps.google.com/?cid=13046251529107250490,(404) 766-3798,"Monday: 6:30 AM  9:00 PM, Tuesday: 6:30 AM  9:00 PM, Wednesday: 6:30 AM  9:00 PM, Thursday: 6:30 AM  9:00 PM, Friday: 6:30 AM  9:00 PM, Saturday: 7:00 AM  9:00 PM, Sunday: 8:00 AM  7:00 PM"
ChIJAbesjs7i9IgR3N6fD7TUCj0,30320,store,Edy's,33.6405598,-84.4447346,http://edys.com/,"Atrium, Main Concourse, 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",https://maps.google.com/?cid=4398561855902047964,,
ChIJAR78ic7i9IgRCePhRmkjycM,30320,store,Ben & Jerry's,33.6412288,-84.4444861,http://www.benjerry.com/,"6000 N Terminal Pkwy, Atlanta, GA 30320, USA",https://maps.google.com/?cid=14107846242782536457,(866) 258-6877,
ChIJdwz-nD399IgRW_bOSRoFQHQ,30320,grocery_or_supermarket,Global Concessions,33.6407941,-84.42932,http://www.globalconcessions.com/,"9770 Spine Rd SW, Atlanta, GA 30320, USA",https://maps.google.com/?cid=8376700917374711387,(404) 209-0907,
ChIJ8WwDFLji9IgRqoe9HReMKEQ,30320,grocery_or_supermarket,African Terminal Market,33.6508607,-84.4498367,,"3827 Main St, Atlanta, GA 30337, USA",https://maps.google.com/?cid=4911329424558622634,(404) 763-0092,
ChIJ2eBZiDL99IgRKb5y8dCc80o,30320,meal_takeaway,Freshns,33.6407013,-84.4255314,http://www.freshens.com/,"6000 N Terminal Pkwy A-F2, Atlanta, GA 30320, USA",https://maps.google.com/?cid=5400832799365316137,(678) 627-5400,
ChIJ_xPs4a_i9IgRjoN45Ue4YOg,30320,grocery_or_supermarket,"Wayfield Foods, Inc.",33.6608846,-84.448102,http://wayfieldfoods.com/,"3465 Main St, Atlanta, GA 30349, USA",https://maps.google.com/?cid=16744586033495573390,(404) 763-2126,"Monday: 7:00 AM  10:00 PM, Tuesday: 7:00 AM  10:00 PM, Wednesday: 7:00 AM  10:00 PM, Thursday: 7:00 AM  10:00 PM, Friday: 7:00 AM  10:00 PM, Saturday: 7:00 AM  10:00 PM, Sunday: 7:00 AM  10:00 PM"
ChIJ2YRneDH99IgRzXSzrJCGoiw,30320,store,Ben & Jerry's,33.6407573,-84.4324965,,"11700 spine Rd, Atlanta, GA 30320, USA",https://maps.google.com/?cid=3216281039826810061,(404) 767-5086,
