X,Y,j1,r1,e1,s1,m1
33.78,-84.3686,0.688875517,1.000000091,0.758191174,0.653522352,0.999999949
33.696,-84.0864,0.268388089,0.662127819,0.809858272,0.532747963,0.983168024
34.018,-84.3188,0.380947441,0.654794815,0.696859177,0.680593834,0.981234518
33.906,-84.2856,0.267366656,0.716307821,0.649140397,0.578904743,0.905212068
34.06,-84.3852,0.067644946,0.457081458,0.73315924,0.671775078,0.904288848
33.99,-84.352,0.334134547,0.665784142,0.699391588,0.636999504,0.879951803
33.822,-84.3852,0.182270919,0.627375045,0.653258905,0.664062927,0.873687128
33.738,-84.2524,0.47901134,0.787036574,0.695481361,0.62175348,0.864681626
33.696,-84.3686,0.142544578,0.551953971,0.869364706,0.667452831,0.861659126
33.78,-84.3852,0.226637164,0.822286857,0.999999999,0.595318528,0.840896372
33.794,-84.352,0.067644946,0.457081458,0.766416039,0.661999447,0.836692505
33.752,-84.3686,0.249442361,0.750412266,0.934973612,0.665827709,0.821560555
33.71,-84.269,0.193102609,0.589723183,0.727604516,0.602764358,0.810964602
33.752,-84.3852,0.335196516,0.604135852,0.803139694,0.612645423,0.807913724
34.06,-84.2358,0.067644946,0.457081458,0.738238024,0.619012323,0.804000826
33.948,-84.3354,0.185885665,0.569082179,0.727495115,0.774521101,0.797837992
33.808,-84.3354,0.305627246,0.728633974,0.685449656,0.663714976,0.79665512
33.668,-84.4516,0.390275236,0.683611912,0.738912776,0.609752713,0.795487847
34.074,-84.2026,0.164901706,0.521775143,0.757622521,0.589995631,0.795487847
33.864,-84.2856,0.445803125,0.781078917,0.762429847,0.637239745,0.792355189
33.752,-84.2358,0.395383049,0.770284559,0.905583543,0.736908916,0.791519807
33.654,-84.4516,0.206894398,0.586735235,0.765608883,0.693872225,0.790418168
33.766,-84.352,0.18275032,0.604799303,0.823818073,0.677398686,0.787458085
33.724,-84.352,0.412144097,0.811528763,0.663773906,0.563326666,0.78614498
33.808,-84.2358,0.383856843,0.759962088,0.759709548,0.710558981,0.784594875
33.78,-84.352,0.113160901,0.511722789,0.783469729,0.619477223,0.783830035
33.752,-84.269,0.249442361,0.750412266,0.936556491,0.605823541,0.776065324
33.92,-84.3852,0.105708142,0.540299045,0.67512111,0.666365464,0.774683992
33.85,-84.2192,0.199648449,0.636818607,0.72153003,0.62060596,0.774228429
33.85,-84.2026,0.319542845,0.790458388,0.830774591,0.603424042,0.770886589
33.962,-84.3686,0.263748477,0.659173825,0.787927365,0.593011406,0.759835647
33.766,-84.3354,0.15606654,0.553391393,0.782432106,0.622920383,0.755899575
33.584,-84.4682,0.309303487,0.732750976,0.747306079,0.607446034,0.75426751
33.766,-84.3686,0.366809147,0.853119508,0.78447147,0.592572021,0.750578696
33.892,-84.3022,0.335196516,0.604135852,0.802994311,0.619664066,0.749046349
33.892,-84.2856,0.251829265,0.677432627,0.542416056,0.60991473,0.748541769
33.808,-84.186,0.222878177,0.671404606,0.838108839,0.598047968,0.747707548
33.654,-84.4018,0.485257426,0.840782113,0.509022309,0.635457516,0.743816061
33.682,-84.2358,0.343558373,0.679691515,0.622757112,0.696774067,0.741013111
33.78,-84.269,0.243783572,0.646491381,0.840208071,0.647442993,0.740402971
33.724,-84.1694,0.330082641,0.730138632,0.575616699,0.82242783,0.739345995
34.018,-84.269,0.149819898,0.502771908,0.830694804,0.620511188,0.739196103
33.71,-84.103,0.357343172,0.792226677,0.761233037,0.622822385,0.738302448
33.892,-84.3852,0.291557037,0.706300325,0.659259545,0.655202613,0.736979961
33.836,-84.3852,0.157199161,0.740962946,0.866825924,0.614182424,0.735822083
33.794,-84.2856,0.446823694,0.752705074,0.668541191,0.587806908,0.735678494
33.85,-84.3686,0.684894858,0.989818806,0.916266608,0.581650041,0.732031189
33.878,-84.3852,0.264014572,0.676805038,0.745104963,0.637480806,0.731348129
33.752,-84.1694,0.202787823,0.649442681,0.670669278,0.565465302,0.730941033
33.696,-84.269,0.144515837,0.544570917,0.839794758,0.565465302,0.730805786
33.71,-84.3686,0.144515837,0.544570917,0.857902697,0.568664838,0.730535966
33.822,-84.3354,0.190393911,0.536868949,0.773540831,0.593390368,0.729731849
33.906,-84.3852,0.285262814,0.687238473,0.637486541,0.580600303,0.72867195
33.766,-84.3852,0.222878177,0.671404606,0.837965679,0.793090731,0.72801649
33.598,-84.4682,0.309901139,0.656005133,0.631054832,0.627270859,0.727755786
33.71,-84.352,0.45804912,0.858054358,0.69140216,0.607524277,0.727625748
34.074,-84.352,0.20090629,0.55510643,0.731515959,0.577104637,0.727625748
33.822,-84.2358,0.391075935,0.811483152,0.795127316,0.605747246,0.72749592
33.752,-84.352,0.234390025,0.669223135,0.830671178,0.624910014,0.726336753
33.78,-84.3022,0.303312097,0.661032969,0.806166495,0.641325892,0.725194001
33.976,-84.352,0.373330254,0.840659326,0.663872258,0.568063118,0.724191649
33.682,-84.4516,0.366519754,0.719596803,0.754107901,0.663368659,0.724067229
33.822,-84.352,0.262577541,0.703870919,0.798525109,0.551217968,0.723943
33.85,-84.2524,0.249442361,0.750412266,0.934600156,0.609268973,0.722345258
33.724,-84.4184,0.365154211,0.748795289,0.807244549,0.61349503,0.720898125
33.794,-84.2358,0.438468515,0.755430686,0.767340752,0.863936067,0.720778702
33.752,-84.4018,0.155839014,0.583208634,0.751839953,0.59434741,0.720302782
33.794,-84.3686,0.113160901,0.511722789,0.772109255,0.591148641,0.720184243
33.794,-84.3188,0.144515837,0.544570917,0.796061126,0.668556378,0.718426926
33.654,-84.518,0.363913693,0.652616883,0.601146354,0.527976821,0.718080055
33.808,-84.352,0.067644946,0.457081458,0.729470036,0.581915162,0.717162374
33.948,-84.269,0.164901706,0.521775143,0.754636834,0.607602612,0.717048402
33.724,-84.3852,0.49450106,0.816357823,0.759109364,0.696774067,0.713703057
33.864,-84.3022,0.234096142,0.671645753,0.788158551,0.604313839,0.711548703
33.794,-84.3852,0.105708142,0.540299045,0.682708611,0.558115545,0.710388353
34.074,-84.3022,0.359753353,0.642489951,0.738026987,0.611059825,0.710283707
33.724,-84.3686,0.417938361,0.853824105,0.705523037,0.584296277,0.708321376
33.668,-84.4682,0.305940429,0.722001735,0.777098706,0.61040312,0.70811763
33.654,-84.5014,0.295880583,0.679148296,0.585762462,0.550990022,0.707006368
33.696,-84.1694,0.156197515,0.546219787,0.674478462,0.572126215,0.705811746
33.85,-84.186,0.252642929,0.636628191,0.652786907,0.54995867,0.705417548
33.71,-84.2192,0.372410395,0.745938398,0.853969924,0.688136709,0.705221189
33.696,-84.4184,0.293091427,0.647121432,0.779891844,0.650999761,0.704927571
34.088,-84.352,0.067644946,0.457081458,0.730768062,0.585240181,0.704829942
33.78,-84.2358,0.395524428,0.764250386,0.735188478,0.586254771,0.70395672
33.794,-84.269,0.469673892,0.85712814,0.744224734,0.839449833,0.702997772
33.836,-84.3686,0.410099708,0.839838492,0.800545958,0.599490663,0.702050455
