place_id,zipcode,place_type,place_name,latitude,longitude,website_url,property_address,map_url,phone
ChIJ43zRNxmy9YgRVKNFUsaH_jI,30058,church,Sanctuary Church,33.7384582,-84.0847282,http://www.livingwordonthemove.org/,"1780 Rock Chapel Rd, Lithonia, GA 30058, USA",https://maps.google.com/?cid=3674523631834473300,(770) 587-5999
ChIJydqBhcWx9YgRR7ofT3Ry1D8,30058,church,New Macedonia Missionary Baptist Church,33.7774771,-84.0873543,http://www.windsofworship.net/,"7714 Rockbridge Rd SW, Lithonia, GA 30058, USA",https://maps.google.com/?cid=4599426963321371207,(770) 423-7316
ChIJYR39acWx9YgRAKqoPh4sTQo,30058,church,Calvary Praise and Worship Center Inc.,33.7769579,-84.0896599,http://www.divinefaith.org/,"7641 Rockbridge Rd SW, Lithonia, GA 30058, USA",https://maps.google.com/?cid=742298021997881856,(770) 427-5923
ChIJle3OABKy9YgRHuHeIYj1e8A,30058,church,Antioch Lithonia Baptist Church,33.727758,-84.0921106,http://www.cumberlandchurch.org/,"2152 Rock Chapel Rd, Lithonia, GA 30058, USA",https://maps.google.com/?cid=13869949442450186526,(770) 971-4600
ChIJBWEswnKy9YgRLwv2jEGNmzo,30058,church,East Lithonia Baptist Church,33.7212,-84.0924,http://newcovenantcog.org/,"Lithonia, GA 30058, USA",https://maps.google.com/?cid=4223124388267297583,(770) 429-1733
ChIJ376dxX-y9YgRmK49O1pJnmM,30074,church,Unity of Faith Christian Church,33.7013604,-84.099362,http://mpfbc.org/,"7890 Mall Ring Rd, Lithonia, GA 30038, USA",https://maps.google.com/?cid=7178255507964931736,(505) 255-7579
ChIJQyy-FiCu9YgRc5nYaWXFUMc,30058,church,Christ Apostolic Church,33.7685606,-84.1024398,http://www.eagleslandingdisciples.org/,"1309 Stephenson Rd, Lithonia, GA 30058, USA",https://maps.google.com/?cid=14362196251042683251,(770) 971-4600
ChIJLfLPooit9YgRxItYTqsoD2Y,30058,church,Rock Church of God In Christ,33.712564,-84.105366,http://www.igochurch.com/,"7268 Center St, Lithonia, GA 30058, USA",https://maps.google.com/?cid=7354141432738253764,(770) 993-4919
ChIJw-gcYgGu9YgRJ1Vk7BF2XK0,30058,church,True Witness Apostolic Church,33.750791,-84.1057485,http://www.deafbaptistchurch.com/home.html,"1410 Rogers Lake Rd, Lithonia, GA 30058, USA",https://maps.google.com/?cid=12491989285771433255,(678) 389-8737
ChIJsS2mroit9YgRNI9-_A9DipE,30058,church,Fishers of Men Community Church,33.712344,-84.106225,http://www.viningschurch.com/,"2522 Hollingsworth St, Lithonia, GA 30058, USA",https://maps.google.com/?cid=10487268418225344308,(770) 427-3325
