origin_place_id,destination_place_id,duration_text,duration_value,distance_text,distance_value
ChIJ3VvNauyp9YgRRXlKemiVy2M,ChIJyRb7_u-n9YgRaFRK94xpvAo,57 mins,3422,8.2 mi,13153
ChIJ4eCNIKgF9YgReOZ6JpQafwc,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 24 mins,5027,18.8 mi,30268
ChIJKzR9b6gF9YgRjjr51xqT-Js,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 20 mins,4771,18.6 mi,29945
ChIJO9W-D6gF9YgR_3x7d31Ib_A,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 21 mins,4874,18.7 mi,30059
ChIJ--OyBKgF9YgRCbPZqzRI6NQ,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 22 mins,4902,18.7 mi,30096
ChIJpardO7ip9YgRt7TWKO3wDCk,ChIJyRb7_u-n9YgRaFRK94xpvAo,44 mins,2659,7.1 mi,11410
ChIJs0_Es7ip9YgR8dlA0ZjY-Rk,ChIJyRb7_u-n9YgRaFRK94xpvAo,48 mins,2859,7.2 mi,11586
ChIJWfvt5QcF9YgRvBaszKADxKI,ChIJyRb7_u-n9YgRaFRK94xpvAo,1 hour 25 mins,5074,18.8 mi,30333
ChIJ5Ro5bQ6e9YgRDUDIZB2WGg0,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 30 mins,9006,34.8 mi,55996
ChIJhUbr3Y119YgREZg9CgP3iRY,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 20 mins,8429,34.5 mi,55552
ChIJiQhCrwSe9YgRmI-9d1C2RHU,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 8 mins,7689,39.0 mi,62813
ChIJj63rRwGe9YgRexIL7p0z-sc,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 36 mins,9339,35.0 mi,56372
ChIJmzETCLud9YgRpV7UrpYXw1U,ChIJyRb7_u-n9YgRaFRK94xpvAo,NA,NA,NA,NA
ChIJqWc9Lwye9YgRO0WKgqnFz4k,ChIJyRb7_u-n9YgRaFRK94xpvAo,2 hours 32 mins,9106,34.9 mi,56129
