OBJECTID,Apartment_Name,Latitude,Longitude,Place_ID,Zip,Website,Address,City,Zip,Map,Phone,Block_Group,Jobs,Retail,Rent,,
644,@1377,33.860196,-84.333582,ChIJpdH0jL0I9YgRomIhQRghUC0,30319,http://www.liveat1377.com/,1377 Dresden Drive, Brookhaven, GA 30319,https://maps.google.com/?cid=3265146117899248290,(404) 949-5555,1.31E+11,3.75247,6125.40528,1508.76001,,
730,10 Perimeter Park Apartments,33.918275,-84.294549,ChIJqyJxEpMJ9YgRr5Zhfd1FzmI,30341,http://www.living10perimeterpark.com/,10 Perimeter Park Dr, Atlanta, GA 30341,https://maps.google.com/?cid=7119704878512969391,(770) 458-1001,1.31E+11,2.13109,5287.40936,1415.359985,,
366,100 Midtown Apartments,33.781227,-84.390101,ChIJiQ6H8l0E9YgRuNf8HKchVmQ,30309,http://100midtown.com/,100 10th St NW, Atlanta, GA 30309,https://maps.google.com/?cid=7230003253419497400,(404) 961-7130,1.31E+11,42.85449,5811.40027,2247.26001,,
361,1016 Lofts,33.782327,-84.411841,ChIJzZZ5puwE9YgRqWu1ZN3rYeI,30318,http://www.1016lofts.com/,1016 Howell Mill Rd, Atlanta, GA 30318,https://maps.google.com/?cid=16312578661422558121,(404) 815-8877,1.31E+11,5.33977,5238.39996,1070.040039,,
383,1045 on the Park Apartment Homes,33.783092,-84.379409,ChIJOzubW68F9YgRwomNWOyuxrs,30309,http://www.1045onthepark.com/,1045 Piedmont Ave NE, Atlanta, GA 30309,https://maps.google.com/?cid=13530694460602419650,(404) 720-5784,1.31E+11,32.82187,6016.40065,1562.170044,,
661,1105 Town Brookhaven Apartments,33.871128,-84.338175,ChIJXf6R4sAI9YgRo1YcKwm_oaE,30319,http://www.1105townbrookhaven-apts.com/,1105 Town Blvd, Atlanta, GA 30319,https://maps.google.com/?cid=11646800157455701667,(404) 816-7333,1.31E+11,0.97328,4605.4061,1706.390015,,
392,1122 Crescent Place,33.785346,-84.384571,ChIJ_5DkQkME9YgRMlYMdsZqQE4,30357,http://www.rampartnersllc.com/atlanta-fl-apartments/1122-crescent-place-apartments/photos/,1122 Crescent Ave NE, Atlanta, GA 30309,https://maps.google.com/?cid=5638624134084449842,(678) 553-2822,1.31E+11,34.69863,6089.40072,1979.680054,,
723,1160 Hammond,33.919488,-84.348967,ChIJ3wcPIEwJ9YgRv39Ll4NUFew,30346,http://www.1160hammond.com/,1600 Hammond Dr, Sandy Springs, GA 30328,https://maps.google.com/?cid=17011596091617673151,(866) 347-9434,1.31E+11,16.69995,7992.40739,2385.689941,,
724,1160 Hammond Apartments,33.91946,-84.348353,ChIJkQOvpE4J9YgRVR5zS5M212A,30328,http://www.1160hammond.com/,1160 Hammond Dr NE, Sandy Springs, GA 30328,https://maps.google.com/?cid=6978106153887800917,(770) 766-5537,1.31E+11,16.69995,7992.40739,2385.689941,,
411,1280 West,33.789779,-84.387948,ChIJkTO--VoE9YgRIErGfY5pnDY,30357,http://1280west.com,1280 West Peachtree St NW #210, Atlanta, GA 30309,https://maps.google.com/?cid=3935136235131390496,(678) 999-0914,1.31E+11,19.94391,5608.4006,1515.880005,,
390,12th Street West Apartment Homes,33.784953,-84.385701,ChIJ_1HFSkME9YgRA1Jk2QZfwdQ,30357,http://12stw.com/,60 12th Street, Atlanta, GA 30309,https://maps.google.com/?cid=15330639089567552003,(404) 874-8481,1.31E+11,34.69863,6089.40072,1979.680054,,
327,131 Ponce de Leon,33.771828,-84.38265,ChIJD0Z-VG4E9YgRaEh0O7-_CGg,30332,http://www.live131ponce.com/,131 Ponce De Leon Ave NE, Atlanta, GA 30308,https://maps.google.com/?cid=7496452407815325800,(855) 766-2313,1.31E+11,31.05983,5928.40027,1376.790039,,
402,1315stillwood.com,33.783139,-84.344223,ChIJO1iL5pkG9YgRVQjpx4Yk_dE,30306, ,1315 Stillwood Dr NE, Atlanta, GA 30306,https://maps.google.com/?cid=15131290484332890197, ,1.31E+11,1.56315,4383.4021,2380.5,,
573,1500 Oak Apartments,33.822298,-84.231156,ChIJcTTgrGOo9YgR31qyG8hBk7M,30021,http://www.1500oak.com/,1500 Post Oak Dr, Clarkston, GA 30021,https://maps.google.com/?cid=12939758482079505119,(678) 554-4542,1.31E+11,0.34754,2890.40795,834.724976,,
428,1660 Peachtree,33.797441,-84.391599,ChIJc4omr1YE9YgRtTfIlRIZ5H0,30363,http://www.1660peachtree.com/,1660 Peachtree St NW, Atlanta, GA 30309,https://maps.google.com/?cid=9071403117044053941,(404) 287-1660,1.31E+11,19.94391,5608.4006,1515.880005,,
417,17th Street Lofts and ATLofts,33.792165,-84.396859,ChIJoWA6-PcE9YgRSTg2QoMPHa0,30363,http://www.cflane.com/id/753/the-lofts-at-atlantic-station-atlanta-ga-30363,260 18th St NW, Atlanta, GA 30363,https://maps.google.com/?cid=12474143599312123977,(404) 815-0224,1.31E+11,19.94391,5608.4006,1515.880005,,
418,17th Street Lofts and ATLofts,33.792301,-84.396856,ChIJm-KmAvgE9YgReNDsoxuduOs,30363,http://www.cflane.com/id/753/the-lofts-at-atlantic-station-atlanta-ga-30363,260 18th St NW, Atlanta, GA 30363,https://maps.google.com/?cid=16985498736667709560,(404) 815-0224,1.31E+11,19.94391,5608.4006,1515.880005,,
89,1890 Adams House Apartments,33.703437,-84.462633,ChIJ0Qj2HRcd9YgRB5Zhc_czQc4,30311,http://www.adamshouseapartments.com/,2280 Campbellton Road, Atlanta, GA 30311,https://maps.google.com/?cid=14862217383185061383,(404) 346-0550,1.31E+11,0.60626,1878.39435,550.883972,,
